,Titles,Year
1,A Tale of Two Cities,1859.0
2,Barnaby Rudge,1841.0
3,Bleak House,1853.0
4,David Copperfield,1850.0
5,Dombey and Son,1848.0
7,Hard Times,1854.0
8,Little Dorrit,1857.0
9,Martin Chuzzlewit,1844.0
10,Nicholas Nickleby,1839.0
12,Oliver Twist,1839.0
13,Our Mutual Friend,1865.0
14,The Battle of Life,1846.0
15,The Chimes,1844.0
